seas,yr,anom,mes1,mes2,mes3,disponibilidade_conservadora,data_indexada_antiga_por_centro
JAS,1999,-0.94,1999-07-01,1999-08-01,1999-09-01,1999-09-01,1999-08-01
ASO,1999,-1.0,1999-08-01,1999-09-01,1999-10-01,1999-10-01,1999-09-01
SON,1999,-1.13,1999-09-01,1999-10-01,1999-11-01,1999-11-01,1999-10-01
OND,1999,-1.35,1999-10-01,1999-11-01,1999-12-01,1999-12-01,1999-11-01
NDJ,1999,-1.53,1999-11-01,1999-12-01,2000-01-01,2000-01-01,1999-12-01
DJF,2000,-1.47,1999-12-01,2000-01-01,2000-02-01,2000-02-01,2000-01-01
JFM,2000,-1.26,2000-01-01,2000-02-01,2000-03-01,2000-03-01,2000-02-01
FMA,2000,-0.98,2000-02-01,2000-03-01,2000-04-01,2000-04-01,2000-03-01
MAM,2000,-0.81,2000-03-01,2000-04-01,2000-05-01,2000-05-01,2000-04-01
AMJ,2000,-0.67,2000-04-01,2000-05-01,2000-06-01,2000-06-01,2000-05-01
MJJ,2000,-0.62,2000-05-01,2000-06-01,2000-07-01,2000-07-01,2000-06-01
JJA,2000,-0.48,2000-06-01,2000-07-01,2000-08-01,2000-08-01,2000-07-01
JAS,2000,-0.4,2000-07-01,2000-08-01,2000-09-01,2000-09-01,2000-08-01
ASO,2000,-0.42,2000-08-01,2000-09-01,2000-10-01,2000-10-01,2000-09-01
SON,2000,-0.54,2000-09-01,2000-10-01,2000-11-01,2000-11-01,2000-10-01
OND,2000,-0.76,2000-10-01,2000-11-01,2000-12-01,2000-12-01,2000-11-01
NDJ,2000,-0.78,2000-11-01,2000-12-01,2001-01-01,2001-01-01,2000-12-01
DJF,2001,-0.76,2000-12-01,2001-01-01,2001-02-01,2001-02-01,2001-01-01
JFM,2001,-0.54,2001-01-01,2001-02-01,2001-03-01,2001-03-01,2001-02-01
FMA,2001,-0.43,2001-02-01,2001-03-01,2001-04-01,2001-04-01,2001-03-01
MAM,2001,-0.29,2001-03-01,2001-04-01,2001-05-01,2001-05-01,2001-04-01
AMJ,2001,-0.19,2001-04-01,2001-05-01,2001-06-01,2001-06-01,2001-05-01
MJJ,2001,-0.08,2001-05-01,2001-06-01,2001-07-01,2001-07-01,2001-06-01
JJA,2001,-0.05,2001-06-01,2001-07-01,2001-08-01,2001-08-01,2001-07-01
JAS,2001,-0.13,2001-07-01,2001-08-01,2001-09-01,2001-09-01,2001-08-01
ASO,2001,-0.15,2001-08-01,2001-09-01,2001-10-01,2001-10-01,2001-09-01
SON,2001,-0.26,2001-09-01,2001-10-01,2001-11-01,2001-11-01,2001-10-01
OND,2001,-0.33,2001-10-01,2001-11-01,2001-12-01,2001-12-01,2001-11-01
NDJ,2001,-0.32,2001-11-01,2001-12-01,2002-01-01,2002-01-01,2001-12-01
DJF,2002,-0.15,2001-12-01,2002-01-01,2002-02-01,2002-02-01,2002-01-01
JFM,2002,0.07,2002-01-01,2002-02-01,2002-03-01,2002-03-01,2002-02-01
FMA,2002,0.11,2002-02-01,2002-03-01,2002-04-01,2002-04-01,2002-03-01
MAM,2002,0.15,2002-03-01,2002-04-01,2002-05-01,2002-05-01,2002-04-01
AMJ,2002,0.3,2002-04-01,2002-05-01,2002-06-01,2002-06-01,2002-05-01
MJJ,2002,0.45,2002-05-01,2002-06-01,2002-07-01,2002-07-01,2002-06-01
JJA,2002,0.57,2002-06-01,2002-07-01,2002-08-01,2002-08-01,2002-07-01
JAS,2002,0.63,2002-07-01,2002-08-01,2002-09-01,2002-09-01,2002-08-01
ASO,2002,0.78,2002-08-01,2002-09-01,2002-10-01,2002-10-01,2002-09-01
SON,2002,0.99,2002-09-01,2002-10-01,2002-11-01,2002-11-01,2002-10-01
OND,2002,1.19,2002-10-01,2002-11-01,2002-12-01,2002-12-01,2002-11-01
NDJ,2002,1.08,2002-11-01,2002-12-01,2003-01-01,2003-01-01,2002-12-01
DJF,2003,0.9,2002-12-01,2003-01-01,2003-02-01,2003-02-01,2003-01-01
JFM,2003,0.59,2003-01-01,2003-02-01,2003-03-01,2003-03-01,2003-02-01
FMA,2003,0.38,2003-02-01,2003-03-01,2003-04-01,2003-04-01,2003-03-01
MAM,2003,-0.01,2003-03-01,2003-04-01,2003-05-01,2003-05-01,2003-04-01
AMJ,2003,-0.18,2003-04-01,2003-05-01,2003-06-01,2003-06-01,2003-05-01
MJJ,2003,-0.13,2003-05-01,2003-06-01,2003-07-01,2003-07-01,2003-06-01
JJA,2003,0.09,2003-06-01,2003-07-01,2003-08-01,2003-08-01,2003-07-01
JAS,2003,0.14,2003-07-01,2003-08-01,2003-09-01,2003-09-01,2003-08-01
ASO,2003,0.23,2003-08-01,2003-09-01,2003-10-01,2003-10-01,2003-09-01
SON,2003,0.23,2003-09-01,2003-10-01,2003-11-01,2003-11-01,2003-10-01
OND,2003,0.29,2003-10-01,2003-11-01,2003-12-01,2003-12-01,2003-11-01
NDJ,2003,0.29,2003-11-01,2003-12-01,2004-01-01,2004-01-01,2003-12-01
DJF,2004,0.34,2003-12-01,2004-01-01,2004-02-01,2004-02-01,2004-01-01
JFM,2004,0.27,2004-01-01,2004-02-01,2004-03-01,2004-03-01,2004-02-01
FMA,2004,0.19,2004-02-01,2004-03-01,2004-04-01,2004-04-01,2004-03-01
MAM,2004,0.1,2004-03-01,2004-04-01,2004-05-01,2004-05-01,2004-04-01
AMJ,2004,0.12,2004-04-01,2004-05-01,2004-06-01,2004-06-01,2004-05-01
MJJ,2004,0.22,2004-05-01,2004-06-01,2004-07-01,2004-07-01,2004-06-01
JJA,2004,0.39,2004-06-01,2004-07-01,2004-08-01,2004-08-01,2004-07-01
JAS,2004,0.54,2004-07-01,2004-08-01,2004-09-01,2004-09-01,2004-08-01
ASO,2004,0.58,2004-08-01,2004-09-01,2004-10-01,2004-10-01,2004-09-01
SON,2004,0.61,2004-09-01,2004-10-01,2004-11-01,2004-11-01,2004-10-01
OND,2004,0.64,2004-10-01,2004-11-01,2004-12-01,2004-12-01,2004-11-01
NDJ,2004,0.71,2004-11-01,2004-12-01,2005-01-01,2005-01-01,2004-12-01
DJF,2005,0.62,2004-12-01,2005-01-01,2005-02-01,2005-02-01,2005-01-01
JFM,2005,0.55,2005-01-01,2005-02-01,2005-03-01,2005-03-01,2005-02-01
FMA,2005,0.4,2005-02-01,2005-03-01,2005-04-01,2005-04-01,2005-03-01
MAM,2005,0.37,2005-03-01,2005-04-01,2005-05-01,2005-05-01,2005-04-01
AMJ,2005,0.27,2005-04-01,2005-05-01,2005-06-01,2005-06-01,2005-05-01
MJJ,2005,0.09,2005-05-01,2005-06-01,2005-07-01,2005-07-01,2005-06-01
JJA,2005,-0.04,2005-06-01,2005-07-01,2005-08-01,2005-08-01,2005-07-01
JAS,2005,-0.14,2005-07-01,2005-08-01,2005-09-01,2005-09-01,2005-08-01
ASO,2005,-0.11,2005-08-01,2005-09-01,2005-10-01,2005-10-01,2005-09-01
SON,2005,-0.27,2005-09-01,2005-10-01,2005-11-01,2005-11-01,2005-10-01
OND,2005,-0.57,2005-10-01,2005-11-01,2005-12-01,2005-12-01,2005-11-01
NDJ,2005,-0.82,2005-11-01,2005-12-01,2006-01-01,2006-01-01,2005-12-01
DJF,2006,-0.86,2005-12-01,2006-01-01,2006-02-01,2006-02-01,2006-01-01
JFM,2006,-0.8,2006-01-01,2006-02-01,2006-03-01,2006-03-01,2006-02-01
FMA,2006,-0.63,2006-02-01,2006-03-01,2006-04-01,2006-04-01,2006-03-01
MAM,2006,-0.45,2006-03-01,2006-04-01,2006-05-01,2006-05-01,2006-04-01
AMJ,2006,-0.19,2006-04-01,2006-05-01,2006-06-01,2006-06-01,2006-05-01
MJJ,2006,-0.05,2006-05-01,2006-06-01,2006-07-01,2006-07-01,2006-06-01
JJA,2006,0.12,2006-06-01,2006-07-01,2006-08-01,2006-08-01,2006-07-01
JAS,2006,0.33,2006-07-01,2006-08-01,2006-09-01,2006-09-01,2006-08-01
ASO,2006,0.54,2006-08-01,2006-09-01,2006-10-01,2006-10-01,2006-09-01
SON,2006,0.71,2006-09-01,2006-10-01,2006-11-01,2006-11-01,2006-10-01
OND,2006,0.88,2006-10-01,2006-11-01,2006-12-01,2006-12-01,2006-11-01
NDJ,2006,0.88,2006-11-01,2006-12-01,2007-01-01,2007-01-01,2006-12-01
DJF,2007,0.62,2006-12-01,2007-01-01,2007-02-01,2007-02-01,2007-01-01
JFM,2007,0.19,2007-01-01,2007-02-01,2007-03-01,2007-03-01,2007-02-01
FMA,2007,-0.12,2007-02-01,2007-03-01,2007-04-01,2007-04-01,2007-03-01
MAM,2007,-0.32,2007-03-01,2007-04-01,2007-05-01,2007-05-01,2007-04-01
AMJ,2007,-0.34,2007-04-01,2007-05-01,2007-06-01,2007-06-01,2007-05-01
MJJ,2007,-0.41,2007-05-01,2007-06-01,2007-07-01,2007-07-01,2007-06-01
JJA,2007,-0.49,2007-06-01,2007-07-01,2007-08-01,2007-08-01,2007-07-01
JAS,2007,-0.77,2007-07-01,2007-08-01,2007-09-01,2007-09-01,2007-08-01
ASO,2007,-1.05,2007-08-01,2007-09-01,2007-10-01,2007-10-01,2007-09-01
SON,2007,-1.38,2007-09-01,2007-10-01,2007-11-01,2007-11-01,2007-10-01
OND,2007,-1.57,2007-10-01,2007-11-01,2007-12-01,2007-12-01,2007-11-01
NDJ,2007,-1.72,2007-11-01,2007-12-01,2008-01-01,2008-01-01,2007-12-01
DJF,2008,-1.76,2007-12-01,2008-01-01,2008-02-01,2008-02-01,2008-01-01
JFM,2008,-1.61,2008-01-01,2008-02-01,2008-03-01,2008-03-01,2008-02-01
FMA,2008,-1.37,2008-02-01,2008-03-01,2008-04-01,2008-04-01,2008-03-01
MAM,2008,-1.05,2008-03-01,2008-04-01,2008-05-01,2008-05-01,2008-04-01
AMJ,2008,-0.85,2008-04-01,2008-05-01,2008-06-01,2008-06-01,2008-05-01
MJJ,2008,-0.56,2008-05-01,2008-06-01,2008-07-01,2008-07-01,2008-06-01
JJA,2008,-0.33,2008-06-01,2008-07-01,2008-08-01,2008-08-01,2008-07-01
JAS,2008,-0.2,2008-07-01,2008-08-01,2008-09-01,2008-09-01,2008-08-01
ASO,2008,-0.25,2008-08-01,2008-09-01,2008-10-01,2008-10-01,2008-09-01
SON,2008,-0.36,2008-09-01,2008-10-01,2008-11-01,2008-11-01,2008-10-01
OND,2008,-0.57,2008-10-01,2008-11-01,2008-12-01,2008-12-01,2008-11-01
NDJ,2008,-0.79,2008-11-01,2008-12-01,2009-01-01,2009-01-01,2008-12-01
DJF,2009,-0.89,2008-12-01,2009-01-01,2009-02-01,2009-02-01,2009-01-01
JFM,2009,-0.84,2009-01-01,2009-02-01,2009-03-01,2009-03-01,2009-02-01
FMA,2009,-0.63,2009-02-01,2009-03-01,2009-04-01,2009-04-01,2009-03-01
MAM,2009,-0.35,2009-03-01,2009-04-01,2009-05-01,2009-05-01,2009-04-01
AMJ,2009,0.03,2009-04-01,2009-05-01,2009-06-01,2009-06-01,2009-05-01
MJJ,2009,0.34,2009-05-01,2009-06-01,2009-07-01,2009-07-01,2009-06-01
JJA,2009,0.5,2009-06-01,2009-07-01,2009-08-01,2009-08-01,2009-07-01
JAS,2009,0.56,2009-07-01,2009-08-01,2009-09-01,2009-09-01,2009-08-01
ASO,2009,0.66,2009-08-01,2009-09-01,2009-10-01,2009-10-01,2009-09-01
SON,2009,0.92,2009-09-01,2009-10-01,2009-11-01,2009-11-01,2009-10-01
OND,2009,1.31,2009-10-01,2009-11-01,2009-12-01,2009-12-01,2009-11-01
NDJ,2009,1.5,2009-11-01,2009-12-01,2010-01-01,2010-01-01,2009-12-01
DJF,2010,1.47,2009-12-01,2010-01-01,2010-02-01,2010-02-01,2010-01-01
JFM,2010,1.21,2010-01-01,2010-02-01,2010-03-01,2010-03-01,2010-02-01
FMA,2010,0.88,2010-02-01,2010-03-01,2010-04-01,2010-04-01,2010-03-01
MAM,2010,0.38,2010-03-01,2010-04-01,2010-05-01,2010-05-01,2010-04-01
AMJ,2010,-0.16,2010-04-01,2010-05-01,2010-06-01,2010-06-01,2010-05-01
MJJ,2010,-0.66,2010-05-01,2010-06-01,2010-07-01,2010-07-01,2010-06-01
JJA,2010,-0.98,2010-06-01,2010-07-01,2010-08-01,2010-08-01,2010-07-01
JAS,2010,-1.24,2010-07-01,2010-08-01,2010-09-01,2010-09-01,2010-08-01
ASO,2010,-1.43,2010-08-01,2010-09-01,2010-10-01,2010-10-01,2010-09-01
SON,2010,-1.54,2010-09-01,2010-10-01,2010-11-01,2010-11-01,2010-10-01
OND,2010,-1.57,2010-10-01,2010-11-01,2010-12-01,2010-12-01,2010-11-01
NDJ,2010,-1.48,2010-11-01,2010-12-01,2011-01-01,2011-01-01,2010-12-01
DJF,2011,-1.29,2010-12-01,2011-01-01,2011-02-01,2011-02-01,2011-01-01
JFM,2011,-1.06,2011-01-01,2011-02-01,2011-03-01,2011-03-01,2011-02-01
FMA,2011,-0.85,2011-02-01,2011-03-01,2011-04-01,2011-04-01,2011-03-01
MAM,2011,-0.68,2011-03-01,2011-04-01,2011-05-01,2011-05-01,2011-04-01
AMJ,2011,-0.5,2011-04-01,2011-05-01,2011-06-01,2011-06-01,2011-05-01
MJJ,2011,-0.34,2011-05-01,2011-06-01,2011-07-01,2011-07-01,2011-06-01
JJA,2011,-0.37,2011-06-01,2011-07-01,2011-08-01,2011-08-01,2011-07-01
JAS,2011,-0.5,2011-07-01,2011-08-01,2011-09-01,2011-09-01,2011-08-01
ASO,2011,-0.76,2011-08-01,2011-09-01,2011-10-01,2011-10-01,2011-09-01
SON,2011,-0.94,2011-09-01,2011-10-01,2011-11-01,2011-11-01,2011-10-01
OND,2011,-1.02,2011-10-01,2011-11-01,2011-12-01,2011-12-01,2011-11-01
NDJ,2011,-0.92,2011-11-01,2011-12-01,2012-01-01,2012-01-01,2011-12-01
DJF,2012,-0.71,2011-12-01,2012-01-01,2012-02-01,2012-02-01,2012-01-01
JFM,2012,-0.56,2012-01-01,2012-02-01,2012-03-01,2012-03-01,2012-02-01
FMA,2012,-0.44,2012-02-01,2012-03-01,2012-04-01,2012-04-01,2012-03-01
MAM,2012,-0.35,2012-03-01,2012-04-01,2012-05-01,2012-05-01,2012-04-01
AMJ,2012,-0.18,2012-04-01,2012-05-01,2012-06-01,2012-06-01,2012-05-01
MJJ,2012,0.03,2012-05-01,2012-06-01,2012-07-01,2012-07-01,2012-06-01
JJA,2012,0.28,2012-06-01,2012-07-01,2012-08-01,2012-08-01,2012-07-01
JAS,2012,0.39,2012-07-01,2012-08-01,2012-09-01,2012-09-01,2012-08-01
ASO,2012,0.37,2012-08-01,2012-09-01,2012-10-01,2012-10-01,2012-09-01
SON,2012,0.28,2012-09-01,2012-10-01,2012-11-01,2012-11-01,2012-10-01
OND,2012,0.13,2012-10-01,2012-11-01,2012-12-01,2012-12-01,2012-11-01
NDJ,2012,-0.03,2012-11-01,2012-12-01,2013-01-01,2013-01-01,2012-12-01
DJF,2013,-0.24,2012-12-01,2013-01-01,2013-02-01,2013-02-01,2013-01-01
JFM,2013,-0.28,2013-01-01,2013-02-01,2013-03-01,2013-03-01,2013-02-01
FMA,2013,-0.23,2013-02-01,2013-03-01,2013-04-01,2013-04-01,2013-03-01
MAM,2013,-0.2,2013-03-01,2013-04-01,2013-05-01,2013-05-01,2013-04-01
AMJ,2013,-0.3,2013-04-01,2013-05-01,2013-06-01,2013-06-01,2013-05-01
MJJ,2013,-0.38,2013-05-01,2013-06-01,2013-07-01,2013-07-01,2013-06-01
JJA,2013,-0.45,2013-06-01,2013-07-01,2013-08-01,2013-08-01,2013-07-01
JAS,2013,-0.34,2013-07-01,2013-08-01,2013-09-01,2013-09-01,2013-08-01
ASO,2013,-0.32,2013-08-01,2013-09-01,2013-10-01,2013-10-01,2013-09-01
SON,2013,-0.14,2013-09-01,2013-10-01,2013-11-01,2013-11-01,2013-10-01
OND,2013,-0.12,2013-10-01,2013-11-01,2013-12-01,2013-12-01,2013-11-01
NDJ,2013,-0.11,2013-11-01,2013-12-01,2014-01-01,2014-01-01,2013-12-01
DJF,2014,-0.24,2013-12-01,2014-01-01,2014-02-01,2014-02-01,2014-01-01
JFM,2014,-0.21,2014-01-01,2014-02-01,2014-03-01,2014-03-01,2014-02-01
FMA,2014,-0.02,2014-02-01,2014-03-01,2014-04-01,2014-04-01,2014-03-01
MAM,2014,0.25,2014-03-01,2014-04-01,2014-05-01,2014-05-01,2014-04-01
AMJ,2014,0.35,2014-04-01,2014-05-01,2014-06-01,2014-06-01,2014-05-01
MJJ,2014,0.22,2014-05-01,2014-06-01,2014-07-01,2014-07-01,2014-06-01
JJA,2014,0.07,2014-06-01,2014-07-01,2014-08-01,2014-08-01,2014-07-01
JAS,2014,0.07,2014-07-01,2014-08-01,2014-09-01,2014-09-01,2014-08-01
ASO,2014,0.24,2014-08-01,2014-09-01,2014-10-01,2014-10-01,2014-09-01
SON,2014,0.51,2014-09-01,2014-10-01,2014-11-01,2014-11-01,2014-10-01
OND,2014,0.7,2014-10-01,2014-11-01,2014-12-01,2014-12-01,2014-11-01
NDJ,2014,0.8,2014-11-01,2014-12-01,2015-01-01,2015-01-01,2014-12-01
DJF,2015,0.73,2014-12-01,2015-01-01,2015-02-01,2015-02-01,2015-01-01
JFM,2015,0.65,2015-01-01,2015-02-01,2015-03-01,2015-03-01,2015-02-01
FMA,2015,0.72,2015-02-01,2015-03-01,2015-04-01,2015-04-01,2015-03-01
MAM,2015,0.86,2015-03-01,2015-04-01,2015-05-01,2015-05-01,2015-04-01
AMJ,2015,1.04,2015-04-01,2015-05-01,2015-06-01,2015-06-01,2015-05-01
MJJ,2015,1.19,2015-05-01,2015-06-01,2015-07-01,2015-07-01,2015-06-01
JJA,2015,1.44,2015-06-01,2015-07-01,2015-08-01,2015-08-01,2015-07-01
JAS,2015,1.73,2015-07-01,2015-08-01,2015-09-01,2015-09-01,2015-08-01
ASO,2015,2.02,2015-08-01,2015-09-01,2015-10-01,2015-10-01,2015-09-01
SON,2015,2.28,2015-09-01,2015-10-01,2015-11-01,2015-11-01,2015-10-01
OND,2015,2.45,2015-10-01,2015-11-01,2015-12-01,2015-12-01,2015-11-01
NDJ,2015,2.59,2015-11-01,2015-12-01,2016-01-01,2016-01-01,2015-12-01
DJF,2016,2.5,2015-12-01,2016-01-01,2016-02-01,2016-02-01,2016-01-01
JFM,2016,2.21,2016-01-01,2016-02-01,2016-03-01,2016-03-01,2016-02-01
FMA,2016,1.69,2016-02-01,2016-03-01,2016-04-01,2016-04-01,2016-03-01
MAM,2016,1.11,2016-03-01,2016-04-01,2016-05-01,2016-05-01,2016-04-01
AMJ,2016,0.57,2016-04-01,2016-05-01,2016-06-01,2016-06-01,2016-05-01
MJJ,2016,0.09,2016-05-01,2016-06-01,2016-07-01,2016-07-01,2016-06-01
JJA,2016,-0.19,2016-06-01,2016-07-01,2016-08-01,2016-08-01,2016-07-01
JAS,2016,-0.34,2016-07-01,2016-08-01,2016-09-01,2016-09-01,2016-08-01
ASO,2016,-0.42,2016-08-01,2016-09-01,2016-10-01,2016-10-01,2016-09-01
SON,2016,-0.51,2016-09-01,2016-10-01,2016-11-01,2016-11-01,2016-10-01
OND,2016,-0.49,2016-10-01,2016-11-01,2016-12-01,2016-12-01,2016-11-01
NDJ,2016,-0.37,2016-11-01,2016-12-01,2017-01-01,2017-01-01,2016-12-01
DJF,2017,-0.08,2016-12-01,2017-01-01,2017-02-01,2017-02-01,2017-01-01
JFM,2017,0.08,2017-01-01,2017-02-01,2017-03-01,2017-03-01,2017-02-01
FMA,2017,0.27,2017-02-01,2017-03-01,2017-04-01,2017-04-01,2017-03-01
MAM,2017,0.32,2017-03-01,2017-04-01,2017-05-01,2017-05-01,2017-04-01
AMJ,2017,0.35,2017-04-01,2017-05-01,2017-06-01,2017-06-01,2017-05-01
MJJ,2017,0.32,2017-05-01,2017-06-01,2017-07-01,2017-07-01,2017-06-01
JJA,2017,0.14,2017-06-01,2017-07-01,2017-08-01,2017-08-01,2017-07-01
JAS,2017,-0.07,2017-07-01,2017-08-01,2017-09-01,2017-09-01,2017-08-01
ASO,2017,-0.23,2017-08-01,2017-09-01,2017-10-01,2017-10-01,2017-09-01
SON,2017,-0.44,2017-09-01,2017-10-01,2017-11-01,2017-11-01,2017-10-01
OND,2017,-0.61,2017-10-01,2017-11-01,2017-12-01,2017-12-01,2017-11-01
NDJ,2017,-0.76,2017-11-01,2017-12-01,2018-01-01,2018-01-01,2017-12-01
DJF,2018,-0.71,2017-12-01,2018-01-01,2018-02-01,2018-02-01,2018-01-01
JFM,2018,-0.67,2018-01-01,2018-02-01,2018-03-01,2018-03-01,2018-02-01
FMA,2018,-0.55,2018-02-01,2018-03-01,2018-04-01,2018-04-01,2018-03-01
MAM,2018,-0.35,2018-03-01,2018-04-01,2018-05-01,2018-05-01,2018-04-01
AMJ,2018,-0.07,2018-04-01,2018-05-01,2018-06-01,2018-06-01,2018-05-01
MJJ,2018,0.13,2018-05-01,2018-06-01,2018-07-01,2018-07-01,2018-06-01
JJA,2018,0.2,2018-06-01,2018-07-01,2018-08-01,2018-08-01,2018-07-01
JAS,2018,0.3,2018-07-01,2018-08-01,2018-09-01,2018-09-01,2018-08-01
ASO,2018,0.52,2018-08-01,2018-09-01,2018-10-01,2018-10-01,2018-09-01
SON,2018,0.82,2018-09-01,2018-10-01,2018-11-01,2018-11-01,2018-10-01
OND,2018,1.04,2018-10-01,2018-11-01,2018-12-01,2018-12-01,2018-11-01
NDJ,2018,1.05,2018-11-01,2018-12-01,2019-01-01,2019-01-01,2018-12-01
DJF,2019,0.99,2018-12-01,2019-01-01,2019-02-01,2019-02-01,2019-01-01
JFM,2019,0.94,2019-01-01,2019-02-01,2019-03-01,2019-03-01,2019-02-01
FMA,2019,0.87,2019-02-01,2019-03-01,2019-04-01,2019-04-01,2019-03-01
MAM,2019,0.82,2019-03-01,2019-04-01,2019-05-01,2019-05-01,2019-04-01
AMJ,2019,0.71,2019-04-01,2019-05-01,2019-06-01,2019-06-01,2019-05-01
MJJ,2019,0.59,2019-05-01,2019-06-01,2019-07-01,2019-07-01,2019-06-01
JJA,2019,0.38,2019-06-01,2019-07-01,2019-08-01,2019-08-01,2019-07-01
JAS,2019,0.2,2019-07-01,2019-08-01,2019-09-01,2019-09-01,2019-08-01
ASO,2019,0.31,2019-08-01,2019-09-01,2019-10-01,2019-10-01,2019-09-01
SON,2019,0.51,2019-09-01,2019-10-01,2019-11-01,2019-11-01,2019-10-01
OND,2019,0.72,2019-10-01,2019-11-01,2019-12-01,2019-12-01,2019-11-01
NDJ,2019,0.75,2019-11-01,2019-12-01,2020-01-01,2020-01-01,2019-12-01
DJF,2020,0.71,2019-12-01,2020-01-01,2020-02-01,2020-02-01,2020-01-01
JFM,2020,0.66,2020-01-01,2020-02-01,2020-03-01,2020-03-01,2020-02-01
FMA,2020,0.57,2020-02-01,2020-03-01,2020-04-01,2020-04-01,2020-03-01
MAM,2020,0.33,2020-03-01,2020-04-01,2020-05-01,2020-05-01,2020-04-01
AMJ,2020,0.04,2020-04-01,2020-05-01,2020-06-01,2020-06-01,2020-05-01
MJJ,2020,-0.18,2020-05-01,2020-06-01,2020-07-01,2020-07-01,2020-06-01
JJA,2020,-0.29,2020-06-01,2020-07-01,2020-08-01,2020-08-01,2020-07-01
JAS,2020,-0.43,2020-07-01,2020-08-01,2020-09-01,2020-09-01,2020-08-01
ASO,2020,-0.77,2020-08-01,2020-09-01,2020-10-01,2020-10-01,2020-09-01
SON,2020,-1.0,2020-09-01,2020-10-01,2020-11-01,2020-11-01,2020-10-01
OND,2020,-1.11,2020-10-01,2020-11-01,2020-12-01,2020-12-01,2020-11-01
NDJ,2020,-1.06,2020-11-01,2020-12-01,2021-01-01,2021-01-01,2020-12-01
DJF,2021,-0.99,2020-12-01,2021-01-01,2021-02-01,2021-02-01,2021-01-01
JFM,2021,-0.85,2021-01-01,2021-02-01,2021-03-01,2021-03-01,2021-02-01
FMA,2021,-0.74,2021-02-01,2021-03-01,2021-04-01,2021-04-01,2021-03-01
MAM,2021,-0.56,2021-03-01,2021-04-01,2021-05-01,2021-05-01,2021-04-01
AMJ,2021,-0.4,2021-04-01,2021-05-01,2021-06-01,2021-06-01,2021-05-01
MJJ,2021,-0.31,2021-05-01,2021-06-01,2021-07-01,2021-07-01,2021-06-01
JJA,2021,-0.35,2021-06-01,2021-07-01,2021-08-01,2021-08-01,2021-07-01
JAS,2021,-0.46,2021-07-01,2021-08-01,2021-09-01,2021-09-01,2021-08-01
ASO,2021,-0.64,2021-08-01,2021-09-01,2021-10-01,2021-10-01,2021-09-01
SON,2021,-0.77,2021-09-01,2021-10-01,2021-11-01,2021-11-01,2021-10-01
OND,2021,-0.91,2021-10-01,2021-11-01,2021-12-01,2021-12-01,2021-11-01
NDJ,2021,-0.83,2021-11-01,2021-12-01,2022-01-01,2022-01-01,2021-12-01
DJF,2022,-0.76,2021-12-01,2022-01-01,2022-02-01,2022-02-01,2022-01-01
JFM,2022,-0.68,2022-01-01,2022-02-01,2022-03-01,2022-03-01,2022-02-01
FMA,2022,-0.77,2022-02-01,2022-03-01,2022-04-01,2022-04-01,2022-03-01
MAM,2022,-0.86,2022-03-01,2022-04-01,2022-05-01,2022-05-01,2022-04-01
AMJ,2022,-0.83,2022-04-01,2022-05-01,2022-06-01,2022-06-01,2022-05-01
MJJ,2022,-0.73,2022-05-01,2022-06-01,2022-07-01,2022-07-01,2022-06-01
JJA,2022,-0.7,2022-06-01,2022-07-01,2022-08-01,2022-08-01,2022-07-01
JAS,2022,-0.78,2022-07-01,2022-08-01,2022-09-01,2022-09-01,2022-08-01
ASO,2022,-0.87,2022-08-01,2022-09-01,2022-10-01,2022-10-01,2022-09-01
SON,2022,-0.89,2022-09-01,2022-10-01,2022-11-01,2022-11-01,2022-10-01
OND,2022,-0.82,2022-10-01,2022-11-01,2022-12-01,2022-12-01,2022-11-01
NDJ,2022,-0.7,2022-11-01,2022-12-01,2023-01-01,2023-01-01,2022-12-01
DJF,2023,-0.55,2022-12-01,2023-01-01,2023-02-01,2023-02-01,2023-01-01
JFM,2023,-0.33,2023-01-01,2023-02-01,2023-03-01,2023-03-01,2023-02-01
FMA,2023,-0.11,2023-02-01,2023-03-01,2023-04-01,2023-04-01,2023-03-01
MAM,2023,0.19,2023-03-01,2023-04-01,2023-05-01,2023-05-01,2023-04-01
AMJ,2023,0.46,2023-04-01,2023-05-01,2023-06-01,2023-06-01,2023-05-01
MJJ,2023,0.73,2023-05-01,2023-06-01,2023-07-01,2023-07-01,2023-06-01
JJA,2023,1.0,2023-06-01,2023-07-01,2023-08-01,2023-08-01,2023-07-01
JAS,2023,1.25,2023-07-01,2023-08-01,2023-09-01,2023-09-01,2023-08-01
ASO,2023,1.5,2023-08-01,2023-09-01,2023-10-01,2023-10-01,2023-09-01
SON,2023,1.74,2023-09-01,2023-10-01,2023-11-01,2023-11-01,2023-10-01
OND,2023,1.9,2023-10-01,2023-11-01,2023-12-01,2023-12-01,2023-11-01
NDJ,2023,1.99,2023-11-01,2023-12-01,2024-01-01,2024-01-01,2023-12-01
DJF,2024,1.84,2023-12-01,2024-01-01,2024-02-01,2024-02-01,2024-01-01
JFM,2024,1.53,2024-01-01,2024-02-01,2024-03-01,2024-03-01,2024-02-01
FMA,2024,1.18,2024-02-01,2024-03-01,2024-04-01,2024-04-01,2024-03-01
MAM,2024,0.77,2024-03-01,2024-04-01,2024-05-01,2024-05-01,2024-04-01
AMJ,2024,0.43,2024-04-01,2024-05-01,2024-06-01,2024-06-01,2024-05-01
MJJ,2024,0.18,2024-05-01,2024-06-01,2024-07-01,2024-07-01,2024-06-01
