seas,yr,anom,mes1,mes2,mes3,disponibilidade_conservadora,data_indexada_antiga_por_centro
NDJ,1965,1.6,1965-11-01,1965-12-01,1966-01-01,1966-01-01,1965-12-01
DJF,1966,1.24,1965-12-01,1966-01-01,1966-02-01,1966-02-01,1966-01-01
JFM,1966,0.95,1966-01-01,1966-02-01,1966-03-01,1966-03-01,1966-02-01
FMA,1966,0.76,1966-02-01,1966-03-01,1966-04-01,1966-04-01,1966-03-01
MAM,1966,0.43,1966-03-01,1966-04-01,1966-05-01,1966-05-01,1966-04-01
AMJ,1966,0.24,1966-04-01,1966-05-01,1966-06-01,1966-06-01,1966-05-01
MJJ,1966,0.18,1966-05-01,1966-06-01,1966-07-01,1966-07-01,1966-06-01
JJA,1966,0.25,1966-06-01,1966-07-01,1966-08-01,1966-08-01,1966-07-01
JAS,1966,0.13,1966-07-01,1966-08-01,1966-09-01,1966-09-01,1966-08-01
ASO,1966,-0.09,1966-08-01,1966-09-01,1966-10-01,1966-10-01,1966-09-01
SON,1966,-0.12,1966-09-01,1966-10-01,1966-11-01,1966-11-01,1966-10-01
OND,1966,-0.23,1966-10-01,1966-11-01,1966-12-01,1966-12-01,1966-11-01
NDJ,1966,-0.35,1966-11-01,1966-12-01,1967-01-01,1967-01-01,1966-12-01
DJF,1967,-0.46,1966-12-01,1967-01-01,1967-02-01,1967-02-01,1967-01-01
JFM,1967,-0.48,1967-01-01,1967-02-01,1967-03-01,1967-03-01,1967-02-01
FMA,1967,-0.5,1967-02-01,1967-03-01,1967-04-01,1967-04-01,1967-03-01
MAM,1967,-0.37,1967-03-01,1967-04-01,1967-05-01,1967-05-01,1967-04-01
AMJ,1967,-0.15,1967-04-01,1967-05-01,1967-06-01,1967-06-01,1967-05-01
MJJ,1967,0.05,1967-05-01,1967-06-01,1967-07-01,1967-07-01,1967-06-01
JJA,1967,-0.02,1967-06-01,1967-07-01,1967-08-01,1967-08-01,1967-07-01
JAS,1967,-0.26,1967-07-01,1967-08-01,1967-09-01,1967-09-01,1967-08-01
ASO,1967,-0.4,1967-08-01,1967-09-01,1967-10-01,1967-10-01,1967-09-01
SON,1967,-0.4,1967-09-01,1967-10-01,1967-11-01,1967-11-01,1967-10-01
OND,1967,-0.36,1967-10-01,1967-11-01,1967-12-01,1967-12-01,1967-11-01
NDJ,1967,-0.42,1967-11-01,1967-12-01,1968-01-01,1968-01-01,1967-12-01
DJF,1968,-0.62,1967-12-01,1968-01-01,1968-02-01,1968-02-01,1968-01-01
JFM,1968,-0.73,1968-01-01,1968-02-01,1968-03-01,1968-03-01,1968-02-01
FMA,1968,-0.63,1968-02-01,1968-03-01,1968-04-01,1968-04-01,1968-03-01
MAM,1968,-0.48,1968-03-01,1968-04-01,1968-05-01,1968-05-01,1968-04-01
AMJ,1968,-0.1,1968-04-01,1968-05-01,1968-06-01,1968-06-01,1968-05-01
MJJ,1968,0.17,1968-05-01,1968-06-01,1968-07-01,1968-07-01,1968-06-01
JJA,1968,0.44,1968-06-01,1968-07-01,1968-08-01,1968-08-01,1968-07-01
JAS,1968,0.38,1968-07-01,1968-08-01,1968-09-01,1968-09-01,1968-08-01
ASO,1968,0.34,1968-08-01,1968-09-01,1968-10-01,1968-10-01,1968-09-01
SON,1968,0.5,1968-09-01,1968-10-01,1968-11-01,1968-11-01,1968-10-01
OND,1968,0.66,1968-10-01,1968-11-01,1968-12-01,1968-12-01,1968-11-01
NDJ,1968,0.93,1968-11-01,1968-12-01,1969-01-01,1969-01-01,1968-12-01
DJF,1969,0.98,1968-12-01,1969-01-01,1969-02-01,1969-02-01,1969-01-01
JFM,1969,0.98,1969-01-01,1969-02-01,1969-03-01,1969-03-01,1969-02-01
FMA,1969,0.77,1969-02-01,1969-03-01,1969-04-01,1969-04-01,1969-03-01
MAM,1969,0.69,1969-03-01,1969-04-01,1969-05-01,1969-05-01,1969-04-01
AMJ,1969,0.62,1969-04-01,1969-05-01,1969-06-01,1969-06-01,1969-05-01
MJJ,1969,0.48,1969-05-01,1969-06-01,1969-07-01,1969-07-01,1969-06-01
JJA,1969,0.37,1969-06-01,1969-07-01,1969-08-01,1969-08-01,1969-07-01
JAS,1969,0.41,1969-07-01,1969-08-01,1969-09-01,1969-09-01,1969-08-01
ASO,1969,0.61,1969-08-01,1969-09-01,1969-10-01,1969-10-01,1969-09-01
SON,1969,0.71,1969-09-01,1969-10-01,1969-11-01,1969-11-01,1969-10-01
OND,1969,0.81,1969-10-01,1969-11-01,1969-12-01,1969-12-01,1969-11-01
NDJ,1969,0.71,1969-11-01,1969-12-01,1970-01-01,1970-01-01,1969-12-01
DJF,1970,0.46,1969-12-01,1970-01-01,1970-02-01,1970-02-01,1970-01-01
JFM,1970,0.23,1970-01-01,1970-02-01,1970-03-01,1970-03-01,1970-02-01
FMA,1970,0.23,1970-02-01,1970-03-01,1970-04-01,1970-04-01,1970-03-01
MAM,1970,0.28,1970-03-01,1970-04-01,1970-05-01,1970-05-01,1970-04-01
AMJ,1970,0.11,1970-04-01,1970-05-01,1970-06-01,1970-06-01,1970-05-01
MJJ,1970,-0.26,1970-05-01,1970-06-01,1970-07-01,1970-07-01,1970-06-01
JJA,1970,-0.55,1970-06-01,1970-07-01,1970-08-01,1970-08-01,1970-07-01
JAS,1970,-0.72,1970-07-01,1970-08-01,1970-09-01,1970-09-01,1970-08-01
ASO,1970,-0.69,1970-08-01,1970-09-01,1970-10-01,1970-10-01,1970-09-01
SON,1970,-0.72,1970-09-01,1970-10-01,1970-11-01,1970-11-01,1970-10-01
OND,1970,-0.78,1970-10-01,1970-11-01,1970-12-01,1970-12-01,1970-11-01
NDJ,1970,-1.1,1970-11-01,1970-12-01,1971-01-01,1971-01-01,1970-12-01
DJF,1971,-1.29,1970-12-01,1971-01-01,1971-02-01,1971-02-01,1971-01-01
JFM,1971,-1.36,1971-01-01,1971-02-01,1971-03-01,1971-03-01,1971-02-01
FMA,1971,-1.08,1971-02-01,1971-03-01,1971-04-01,1971-04-01,1971-03-01
MAM,1971,-0.81,1971-03-01,1971-04-01,1971-05-01,1971-05-01,1971-04-01
AMJ,1971,-0.72,1971-04-01,1971-05-01,1971-06-01,1971-06-01,1971-05-01
MJJ,1971,-0.69,1971-05-01,1971-06-01,1971-07-01,1971-07-01,1971-06-01
JJA,1971,-0.68,1971-06-01,1971-07-01,1971-08-01,1971-08-01,1971-07-01
JAS,1971,-0.6,1971-07-01,1971-08-01,1971-09-01,1971-09-01,1971-08-01
ASO,1971,-0.68,1971-08-01,1971-09-01,1971-10-01,1971-10-01,1971-09-01
SON,1971,-0.78,1971-09-01,1971-10-01,1971-11-01,1971-11-01,1971-10-01
OND,1971,-0.86,1971-10-01,1971-11-01,1971-12-01,1971-12-01,1971-11-01
NDJ,1971,-0.78,1971-11-01,1971-12-01,1972-01-01,1972-01-01,1971-12-01
DJF,1972,-0.57,1971-12-01,1972-01-01,1972-02-01,1972-02-01,1972-01-01
JFM,1972,-0.27,1972-01-01,1972-02-01,1972-03-01,1972-03-01,1972-02-01
FMA,1972,0.04,1972-02-01,1972-03-01,1972-04-01,1972-04-01,1972-03-01
MAM,1972,0.25,1972-03-01,1972-04-01,1972-05-01,1972-05-01,1972-04-01
AMJ,1972,0.48,1972-04-01,1972-05-01,1972-06-01,1972-06-01,1972-05-01
MJJ,1972,0.7,1972-05-01,1972-06-01,1972-07-01,1972-07-01,1972-06-01
JJA,1972,1.0,1972-06-01,1972-07-01,1972-08-01,1972-08-01,1972-07-01
JAS,1972,1.26,1972-07-01,1972-08-01,1972-09-01,1972-09-01,1972-08-01
ASO,1972,1.49,1972-08-01,1972-09-01,1972-10-01,1972-10-01,1972-09-01
SON,1972,1.69,1972-09-01,1972-10-01,1972-11-01,1972-11-01,1972-10-01
OND,1972,1.84,1972-10-01,1972-11-01,1972-12-01,1972-12-01,1972-11-01
NDJ,1972,1.77,1972-11-01,1972-12-01,1973-01-01,1973-01-01,1972-12-01
DJF,1973,1.55,1972-12-01,1973-01-01,1973-02-01,1973-02-01,1973-01-01
JFM,1973,1.13,1973-01-01,1973-02-01,1973-03-01,1973-03-01,1973-02-01
