backtest,horizonte,alpha,rmse
B,2,0.6,1.892860863965237
B,3,0.6,3.3401588149155126
B,4,0.6,2.6987692699256094
B,5,0.6,2.7140596437237448
B,6,0.6,2.6669743480982615
B,7,0.6,2.722853437237647
B,8,0.6,2.4054425090083607
B,9,0.6,2.4851372998865493
B,10,0.6,2.4120391714740577
B,11,0.6,2.7901668068688954
B,12,0.6,1.655535237989891
A,1,0.7,1.8535822827408217
A,2,0.7,2.321314982005454
A,3,0.7,1.9713044578955448
A,4,0.7,2.253085174587939
A,5,0.7,2.473037847940035
A,6,0.7,1.7583768234455588
A,7,0.7,1.902088731701711
A,8,0.7,1.9246397819552692
A,9,0.7,1.6186725316463348
A,10,0.7,1.6626387812437473
A,11,0.7,1.8907559445429467
A,12,0.7,2.5444553754152075
A,13,0.7,1.8201829365459192
A,14,0.7,1.86261764126626
A,15,0.7,3.0402515596321313
A,16,0.7,2.2821673024699902
A,17,0.7,2.3215473592740983
A,18,0.7,2.165578816864711
A,19,0.7,2.065064349781495
A,20,0.7,1.64216554830723
A,21,0.7,1.9041218018129742
A,22,0.7,1.8707064271603242
A,23,0.7,2.862842880698828
A,24,0.7,1.9081283030419365
B,1,0.7,1.7981148552255228
B,2,0.7,1.8081576355171285
B,3,0.7,3.097296278808082
B,4,0.7,2.416466521058257
B,5,0.7,2.4094099102858473
B,6,0.7,2.3537933226941736
B,7,0.7,2.339264725244932
B,8,0.7,1.9917917963606844
B,9,0.7,2.1298854629366075
B,10,0.7,2.1436699656583698
B,11,0.7,2.725638553054561
B,12,0.7,1.6293329141557846
A,1,0.8,1.8766092394751732
A,2,0.8,2.2387055576952553
A,3,0.8,1.837486965309168
A,4,0.8,2.135974333790555
A,5,0.8,2.2809737883546566
A,6,0.8,1.6560468079360096
A,7,0.8,1.7329664527287705
A,8,0.8,1.6833784581384477
A,9,0.8,1.4622502206719077
A,10,0.8,1.627849403131851
A,11,0.8,1.8586783875928647
A,12,0.8,2.506911783777545
A,13,0.8,1.7639296774651776
A,14,0.8,1.8317663296678024
A,15,0.8,2.8435454897307832
A,16,0.8,2.0832471415615745
A,17,0.8,2.1044722218255916
A,18,0.8,2.0013595954866252
A,19,0.8,1.8457960812174938
A,20,0.8,1.4212686855498602
A,21,0.8,1.71076983046514
A,22,0.8,1.7749910707874623
A,23,0.8,2.805990781108328
A,24,0.8,1.8420447821030206
B,1,0.8,1.7462381451090185
B,2,0.8,1.7892514308756795
B,3,0.8,2.881118915961876
B,4,0.8,2.171307427416952
B,5,0.8,2.145108830454937
B,6,0.8,2.097417312348495
B,7,0.8,2.0009300570881945
B,8,0.8,1.6244582583052039
B,9,0.8,1.8228408130663734
B,10,0.8,1.9246551931919462
B,11,0.8,2.6959393340362525
B,12,0.8,1.639830317773089
A,1,0.9,1.9443444406354757
A,2,0.9,2.207447109610016
A,3,0.9,1.769570457708717
A,4,0.9,2.0796020742926493
A,5,0.9,2.1326760872122414
A,6,0.9,1.6284839755147253
A,7,0.9,1.6293418028522937
A,8,0.9,1.4923226095390456
A,9,0.9,1.368483280671248
A,10,0.9,1.6420886420461862
A,11,0.9,1.854111530799229
A,12,0.9,2.486534261113158
A,13,0.9,1.755775611786844
A,14,0.9,1.8652378225712574
A,15,0.9,2.6819911509255685
A,16,0.9,1.935953148015735
A,17,0.9,1.9304313423448527
A,18,0.9,1.892092994656515
A,19,0.9,1.6780305060871674
A,20,0.9,1.267691074189279
A,21,0.9,1.5634202339719703
A,22,0.9,1.7212436006593697
A,23,0.9,2.766697685187056
A,24,0.9,1.7981092134683314
B,1,0.9,1.74520834092495
B,2,0.9,1.8381736028913445
B,3,0.9,2.6980487053503373
B,4,0.9,1.9771575716610663
B,5,0.9,1.9377376204806833
B,6,0.9,1.9207293671812988
B,7,0.9,1.7345361790484586
B,8,0.9,1.3420297623090198
B,9,0.9,1.5921422778579744
B,10,0.9,1.7733761692799908
B,11,0.9,2.702217778579734
B,12,0.9,1.6863422256574943
A,1,1.0,2.0523660680614833
A,2,1.0,2.2297003719542574
A,3,1.0,1.7751352165572842
A,4,1.0,2.08889159659347
A,5,1.0,2.0377227011449914
A,6,1.0,1.6793737340241115
A,7,1.0,1.6039599421377382
A,8,1.0,1.3725995421591013
A,9,1.0,1.3504862493085406
A,10,1.0,1.704127930666235
A,11,1.0,1.877256163190852
A,12,1.0,2.48374535281294
A,13,1.0,1.7963758510406738
A,14,1.0,1.9597390699512598
A,15,1.0,2.5622463367658312
A,16,1.0,1.8526401193771662
A,17,1.0,1.8118685511283539
A,18,1.0,1.8475547683353737
A,19,1.0,1.5782776645769163
A,20,1.0,1.2074003632643178
A,21,1.0,1.475916014422646
A,22,1.0,1.7134179965571088
A,23,1.0,2.7457175405040175
A,24,1.0,1.7779642610946693
B,1,1.0,1.79511295298747
B,2,1.0,1.9498252663524824
B,3,1.0,2.555211549814669
B,4,1.0,1.850145616933268
B,5,1.0,1.8070035112790552
B,6,1.0,1.8467454522483973
B,7,1.0,1.5769728735721582
B,8,1.0,1.2057248068657302
B,9,1.0,1.4740818480381588
B,10,1.0,1.7079277493307774
B,11,1.0,2.7442269607492444
B,12,1.0,1.7660253786382643
